"name","authors","year","base","booktitle","doi"
"Refactoring edit history of source code","S. Hayashi and T. Omori and T. Zenmyo and K. Maruyama and M. Saeki",2012,"[""IEEE"",""Engineering Village""]","2012 28th IEEE International Conference on Software Maintenance (ICSM)","10.1109/ICSM.2012.6405336"
"Supporting Merge Conflict Resolution by Using Fine-Grained Code Change History","Y. Nishimura and K. Maruyama",2016,"[""IEEE""]","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2016.46"
"Integrating source code search into git client for effective retrieving of change history","M. Sasaki and S. Matsumoto and S. Kusumoto",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE Workshop on Mining and Analyzing Interaction Histories (MAINT)","10.1109/MAINT.2018.8323089"
"Detecting Program Changes from Edit History of Source Code","E. Kitsu and T. Omori and K. Maruyama",2013,"[""IEEE"",""Engineering Village""]","2013 20th Asia-Pacific Software Engineering Conference (APSEC)","10.1109/APSEC.2013.48"
"Detecting bad smells in source code using change history information","F. Palomba and G. Bavota and M. Di Penta and R. Oliveto and A. De Lucia and D. Poshyvanyk",2013,"[""IEEE"",""ACM"",""Engineering Village""]","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ASE.2013.6693086"
"Historef: A tool for edit history refactoring","S. Hayashi and D. Hoshino and J. Matsuda and M. Saeki and T. Omori and K. Maruyama",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081858"
"ChangeChecker: A tool for defect prediction in source code changes based on incremental learning method","Z. Yuan and C. Liu and L. Yu and L. Zhang",2013,"[""IEEE"",""Engineering Village""]","Proceedings of 2013 3rd International Conference on Computer Science and Network Technology","10.1109/ICCSNT.2013.6967127"
"NESC Handbook, Premier Edition – Spanish version - A Discussion of the National Electrical Safety Code(R) plus COMENTARIOS EN ESPAÑOL","",2018,"[""IEEE""]",,"10.1109/IEEESTD.2018.8574031"
"Linking Source Code to Untangled Change Intents","X. Liu and L. Huang and C. Li and V. Ng",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2018.00047"
"Using source code metrics to predict change-prone web services: A case-study on ebay services","L. Kumar and S. K. Rath and A. Sureka",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE Workshop on Machine Learning Techniques for Software Quality Evaluation (MaLTeSQuE)","10.1109/MALTESQUE.2017.7882009"
